,resultId,grid,positionOrder,fastestLap,fastestLapTime,fastestLapSpeed,surname,status,year,name_x,name_y
1520,22584,7,9,46.0,01:43.2,190.068,Ricciardo,Finished,2015,Chinese Grand Prix,Red Bull
1521,22601,7,6,53.0,01:38.9,196.903,Ricciardo,Finished,2015,Bahrain Grand Prix,Red Bull
1522,22640,4,5,74.0,01:18.1,153.891,Ricciardo,Finished,2015,Monaco Grand Prix,Red Bull
1523,22639,5,4,75.0,01:19.1,151.815,Kvyat,Finished,2015,Monaco Grand Prix,Red Bull
1524,22701,7,6,28.0,01:37.9,216.603,Kvyat,Finished,2015,British Grand Prix,Red Bull
1525,22718,4,3,68.0,01:24.8,185.939,Ricciardo,Finished,2015,Hungarian Grand Prix,Red Bull
1526,22717,7,2,57.0,01:26.5,182.29,Kvyat,Finished,2015,Hungarian Grand Prix,Red Bull
1527,22739,12,4,29.0,01:53.0,223.073,Kvyat,Finished,2015,Belgian Grand Prix,Red Bull
1528,22846,3,10,53.0,01:42.0,194.614,Ricciardo,Finished,2015,United States Grand Prix,Red Bull
1529,22861,5,5,70.0,01:21.6,189.824,Ricciardo,Finished,2015,Mexican Grand Prix,Red Bull
1530,22860,4,4,69.0,01:21.5,190.001,Kvyat,Finished,2015,Mexican Grand Prix,Red Bull
1531,22902,5,6,46.0,01:46.3,188.085,Ricciardo,Finished,2015,Abu Dhabi Grand Prix,Red Bull
1532,22906,9,10,27.0,01:46.9,187.069,Kvyat,Finished,2015,Abu Dhabi Grand Prix,Red Bull
1533,22920,8,4,49.0,01:29.0,214.51,Ricciardo,Finished,2016,Australian Grand Prix,Red Bull
1534,22942,5,4,44.0,01:36.1,202.814,Ricciardo,Finished,2016,Bahrain Grand Prix,Red Bull
1535,22964,2,4,55.0,01:41.0,194.264,Ricciardo,Finished,2016,Chinese Grand Prix,Red Bull
1536,22963,6,3,38.0,01:41.5,193.248,Kvyat,Finished,2016,Chinese Grand Prix,Red Bull
1537,23028,1,2,67.0,01:18.3,153.437,Ricciardo,Finished,2016,Monaco Grand Prix,Red Bull
1538,23055,4,7,51.0,01:16.5,205.207,Ricciardo,Finished,2016,Canadian Grand Prix,Red Bull
1539,23052,5,4,49.0,01:16.3,205.71,Verstappen,Finished,2016,Canadian Grand Prix,Red Bull
1540,23077,2,7,51.0,01:47.7,200.59,Ricciardo,Finished,2016,European Grand Prix,Red Bull
1541,23078,9,8,50.0,01:47.0,202.021,Verstappen,Finished,2016,European Grand Prix,Red Bull
1542,23097,5,5,66.0,01:08.8,226.459,Ricciardo,Finished,2016,Austrian Grand Prix,Red Bull
1543,23094,8,2,69.0,01:09.6,223.7,Verstappen,Finished,2016,Austrian Grand Prix,Red Bull
1544,23118,4,4,52.0,01:36.0,220.882,Ricciardo,Finished,2016,British Grand Prix,Red Bull
1545,23116,3,2,41.0,01:36.4,219.979,Verstappen,Finished,2016,British Grand Prix,Red Bull
